Miles|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ali|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cody|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Tobias|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Levi|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Beau|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jayden|Boy,x,x,x,x,x,x,x,x,x,x,93,43,x,Recent Entrant
Remy|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Otto|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Harvey|Boy,x,x,x,x,x,x,x,x,x,x,32,48,x,Recent Entrant
Jax|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Chester|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
River|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Vincent|Boy,x,91,78,85,94,87,72,x,x,x,x,x,x,Lost Generation
Charles|Boy,7,9,14,29,38,38,56,70,69,44,49,63,x,Steady Classic
Patrick|Boy,44,38,44,32,31,39,35,67,65,71,89,x,x,Steady Classic
Elliott|Boy,x,x,x,x,x,x,x,x,x,85,x,72,x,Declining Former Favorite
Marley|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ayaan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Leonardo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Robin|Boy,x,x,x,82,57,59,69,75,99,x,x,x,x,Declining Former Favorite
Ruben|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Billy|Boy,x,x,x,x,x,x,x,x,x,78,71,x,x,Declining Former Favorite
Zakariya|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Axel|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Muhammed|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jackson|Boy,x,x,x,x,x,x,x,x,x,x,x,100,x,
Ryan|Boy,x,x,x,x,x,x,x,79,28,6,22,69,x,Declining Former Favorite
Wilfred|Boy,31,35,55,89,x,x,x,x,x,x,x,x,x,Lost Generation
Jenson|Boy,x,x,x,x,x,x,x,x,x,x,x,61,x,
Eli|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Syed|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zayn|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Luke|Boy,x,x,x,x,x,x,x,95,29,8,16,44,x,Declining Former Favorite
Brodie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cooper|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lorenzo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lenny|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Dexter|Boy,x,x,x,x,x,x,x,x,x,x,x,73,x,
Nathaniel|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Aiden|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jonah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Abdullah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Harley|Boy,x,x,x,x,x,x,x,x,x,x,x,45,x,
Matthew|Boy,84,85,x,x,x,x,52,10,6,5,12,49,x,Intermittent Presence
Asher|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Robert|Boy,15,10,8,11,5,6,9,14,13,25,60,96,x,Steady Classic
Abdul|Boy,x,x,x,78,x,74,x,86,96,x,x,x,x,Declining Former Favorite
Idris|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Aaron|Boy,x,x,x,x,x,x,x,x,53,32,41,80,x,Declining Former Favorite
Owen|Boy,94,98,99,x,x,x,x,x,x,99,35,92,x,Intermittent Presence
Zion|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Kit|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Raphael|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Atlas|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Matteo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Dominic|Boy,x,x,x,x,x,x,100,69,80,52,84,x,x,Declining Former Favorite
Eric|Boy,35,27,18,27,39,62,88,x,x,x,x,x,x,Declining Former Favorite
Hamza|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
John|Boy,2,1,1,1,1,2,5,13,14,39,64,x,x,Steady Classic
Mustafa|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Abel|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Rio|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Joey|Boy,x,x,x,x,x,x,x,x,x,x,x,97,x,
Cole|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Isaiah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Alex|Boy,x,x,x,x,x,x,x,x,79,50,46,75,x,Declining Former Favorite
Parker|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ahmed|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Archer|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
