name,gender,cluster,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Oakley-Jae,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Gethyn,Boy,2,6,0,4,0,4,0,0,0,4,8,11,17,21,13,7,10,21,11,12,3,6,7,5,0,0,5,5,0,0
Naseer,Boy,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0,4,0,0,3,0,0,0,0,0,0,3
Arney,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Oisin,Boy,1,14,21,21,17,24,24,27,44,30,37,28,32,34,45,36,46,45,47,56,50,66,59,51,71,41,96,79,54,60
Oluremi,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Fahren,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Stephano,Boy,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juliusz,Boy,3,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,7,4,4,3,0,4,6,3,3,3,0,3,4,0
Micha,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Lesley,Boy,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Avyukth,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,5,0,0,0,0,3,7,3
Elio,Boy,1,0,0,0,3,5,0,4,9,3,0,4,6,5,8,5,6,10,11,14,18,9,9,49,34,52,67,89,91,135
Anton,Boy,1,76,60,66,66,66,83,92,95,71,69,77,78,83,72,82,68,70,69,54,49,62,37,37,42,55,44,30,27,37
Abubakar,Boy,0,11,13,15,6,15,30,20,28,24,26,33,40,43,36,33,45,40,31,36,33,41,36,28,37,31,23,28,32,31
Sirat,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Thibaud,Boy,2,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calam,Boy,2,9,5,4,4,5,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommey,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Arris,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Saba,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zakariyyaa,Boy,3,0,3,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincentas,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,3,0,0,0,0
Cameron-Lee,Boy,2,0,0,0,0,0,0,0,0,8,5,3,5,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinan,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,6,4,7,5,5,8,7,9,4,6,9
Tinashe,Boy,3,4,0,0,0,4,5,12,13,8,17,17,13,12,13,11,13,11,7,7,11,14,3,9,3,5,5,4,7,0
Nivesh,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Makoa,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Shola,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Omair,Boy,1,3,4,8,7,6,5,7,5,4,0,3,0,3,3,4,5,3,8,4,0,0,0,0,0,0,0,0,4,0
Rayon,Boy,1,5,0,0,0,0,0,6,5,0,5,3,0,5,3,0,3,0,5,4,3,0,0,6,0,0,3,4,3,0
Zohran,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Cody-James,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,6,0,5,7,4,5,3,3,9,0,8,7
Yeshayahu,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Abdul-Hakim,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
Lucky,Boy,0,0,0,0,0,0,4,3,0,0,0,4,3,3,0,0,3,0,3,3,7,0,9,0,4,5,3,6,3,7
Mehrsam,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Watan,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Edmond,Boy,3,0,4,6,3,4,9,0,4,10,6,0,5,6,3,5,9,5,0,7,4,7,0,0,5,3,6,0,3,5
Noah-George,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,4,4,5,5,4
Musaab,Boy,1,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,4,7,3,0,4,6,7,0,5,8,9,0,5
Abdul-Hannan,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0
Haran,Boy,4,5,3,0,0,0,0,0,0,0,0,5,4,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0
Ayas,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Elkanah,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0
Lewis-Jay,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Severin,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
Tobiloba,Boy,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,5,0,4,0,5,0,3,0,3,0,0,0,4
Kalvin,Boy,3,21,27,20,21,17,15,16,8,10,10,10,16,16,14,17,15,10,10,15,8,6,9,7,8,13,24,12,6,5
Xaiden,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Arihaan,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0
Shafiq,Boy,3,4,5,0,5,8,6,7,4,3,0,3,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imre,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0
Yigithan,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Isiah,Boy,2,4,6,0,9,5,7,0,6,5,6,9,13,7,12,19,16,11,7,4,12,17,20,16,17,18,24,23,18,20
Marvi,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Muhammad-Umar,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,3,0,0,0,5,0,4,0,0
Rajpal,Boy,1,3,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yousaf,Boy,3,13,8,6,15,10,15,20,10,11,24,26,19,27,25,27,23,21,31,21,28,28,32,33,21,26,18,15,18,20
Mohammed-Armaan,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Luca-George,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,3,4
Abishanth,Boy,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklyn,Boy,0,0,6,5,8,7,7,11,9,6,8,12,4,9,13,18,17,19,21,15,37,20,23,21,32,25,10,24,15,9
Archiebald,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bentley-Jay,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Corvin,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyitayo,Boy,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Rajvir,Boy,3,6,0,8,0,5,11,11,13,10,12,4,3,8,10,6,10,5,8,8,13,0,0,4,5,0,5,4,4,7
Hiro,Boy,4,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,4,3,7,0,3,11,6,4,14,4,3,7,8,3
Vivian,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,3,3,0,5,0,0,0,0
Devante,Boy,3,29,29,17,19,16,12,18,15,15,11,10,9,9,9,7,5,3,6,3,0,0,4,6,0,0,0,3,0,0
Guillermo,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,4,6,0,3,8,3,3,7,3,0
Abenezer,Boy,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,3,0,0
Ahiyan,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,0,4,4,5
Lily,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Malikai,Boy,1,0,0,0,0,0,0,0,0,5,5,6,4,4,3,4,8,5,5,6,3,4,0,4,6,4,5,6,4,13
Stamford,Boy,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartley,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
Evann,Boy,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Kin,Boy,2,4,0,3,3,3,0,0,3,4,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurnadar,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
Or,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Logan-Reece,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franky,Boy,2,3,8,0,0,9,0,7,5,13,18,25,26,37,33,38,49,47,55,80,62,54,50,64,48,51,48,49,29,23
Marceau,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,4,0,0
Iziyah,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0
Ansar,Boy,2,0,4,3,3,0,0,0,0,0,4,0,0,0,0,3,3,0,0,3,0,4,0,3,4,0,0,0,5,0
Canelo,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3
Rafeeq,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Oluwadarasimi,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,9,13,6,7,8,8,5,4,6,8,18,9
Osian,Boy,1,27,44,0,50,45,48,54,72,67,92,106,92,111,116,151,113,134,135,141,161,143,141,136,167,142,163,178,173,143
Babatunde,Boy,4,13,10,3,3,6,7,10,0,7,3,4,0,5,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Lochlan,Boy,1,0,9,21,23,31,21,18,20,19,27,23,28,27,36,30,38,52,46,65,149,119,126,120,111,111,127,129,163,154
